Coastal American Airways - Airport-to-Airport O&D Matrix (Consolidated)
"Average daily O&D passengers, real BTS DB1C data, simple mean of 6 months: July 2025, April 2026, December 2025, February 2026, January 2026, November 2025. Secondary-airport rows use the dampened own/primary blend (see BLEND_WEIGHTS in process_chunk.py). Rows = origin, Columns = destination. Values are directional."

Origin \ Dest,ABE,ACY,AGS,ALB,ATW,AUS,AVL,AVP,BDL,BGR,BHM,BLV,BNA,BTR,BTV,BUF,BWI,CAE,CAK,CHA,CHS,CID,CLT,CMH,COU,CRP,CRW,DAB,DAL,DAY,DLH,DSM,ECP,ELP,ERI,EYW,FAR,FLL,FSD,FWA,GNV,GPT,GRR,GSO,GSP,HOU,HPN,HRL,HSV,HVN,ICT,ILM,IND,ISP,JAN,JAX,LBB,LEX,LIT,MAF,MCI,MCN,MDT,MEM,MFE,MHT,MKE,MLB,MOB,MSN,MSY,MYR,OKC,OMA,ORH,PGD,PHF,PIA,PIE,PIT,PNS,PVD,PWM,RDU,RFD,ROA,ROC,SAT,SAV,SBN,SDF,SFB,SGF,SHV,SRQ,SWF,SYR,TLH,TOL,TRI,TTN,TUL,TYS,VPS,XNA
ABE,,0.0,0.6,0.1,0.4,3.2,0.5,0.1,0.2,0.3,1.3,1.7,11.7,0.6,0.1,0.1,0.0,0.9,0.5,1.0,1.8,0.5,12.6,1.0,0.1,0.1,0.2,0.7,3.6,0.4,0.0,0.8,0.9,0.7,0.0,1.1,0.2,23.7,0.3,0.3,0.6,0.6,1.1,1.0,1.3,2.3,0.0,0.0,0.8,0.0,0.6,0.7,2.0,0.0,0.5,2.3,0.0,0.6,1.0,0.1,2.6,0.0,0.2,1.7,0.1,0.1,1.3,16.3,0.4,0.8,1.9,31.7,1.2,1.2,0.0,22.8,0.3,0.2,14.5,0.4,1.9,0.1,0.2,2.5,16.5,0.1,0.1,2.3,2.1,0.4,1.4,39.1,0.9,0.3,19.1,0.0,0.1,0.6,0.0,0.3,0.0,1.1,0.9,0.7,1.1
ACY,0.0,,0.0,0.0,0.0,0.5,0.1,0.0,0.1,0.1,0.1,0.2,0.6,0.0,0.0,0.2,0.1,0.1,0.2,0.0,0.5,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.1,0.0,0.1,0.0,0.6,0.0,78.6,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.9,10.2,0.1,0.1,0.0,42.6,0.1,0.0,35.8,0.2,0.4,0.1,0.2,0.7,0.9,0.0,0.1,0.2,0.4,0.0,0.1,80.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1
AGS,0.6,0.0,,1.0,1.2,5.2,0.1,0.4,2.0,0.2,0.5,2.6,4.5,0.9,0.4,1.3,7.3,0.5,2.1,0.2,0.3,0.7,1.0,3.0,0.1,0.4,0.2,0.3,9.8,0.8,0.1,1.0,0.5,1.7,0.1,0.7,0.3,4.6,0.4,0.5,0.3,0.6,1.4,0.1,0.2,3.9,1.4,0.1,0.7,0.0,1.0,0.1,3.6,0.0,0.9,0.7,0.4,0.8,1.4,0.4,4.2,0.0,1.2,1.8,0.3,0.7,2.0,0.4,0.4,1.1,4.1,0.1,2.1,1.7,0.0,1.7,1.6,0.2,3.7,3.3,1.1,2.2,1.0,1.1,7.6,0.2,1.1,5.6,0.3,0.8,1.8,3.9,0.7,0.6,1.3,0.0,1.2,0.2,0.0,0.1,0.0,1.4,1.0,0.6,0.8
ALB,0.1,0.0,1.0,,1.3,17.5,2.9,0.0,0.7,0.4,3.9,9.2,30.8,0.9,0.6,0.9,21.5,2.9,3.4,2.2,17.1,1.5,35.0,6.5,0.4,0.5,0.5,2.9,17.8,1.6,0.5,2.2,2.6,2.0,0.0,4.7,0.7,98.8,1.1,0.7,1.5,1.1,3.1,2.9,7.1,11.3,0.2,0.5,1.7,0.0,1.5,4.0,9.0,0.1,1.1,14.0,0.7,2.9,2.0,0.5,8.8,0.0,0.3,4.4,0.4,0.1,4.9,1.4,1.0,3.6,11.0,23.6,4.0,3.5,0.0,28.4,6.0,0.7,43.2,6.4,4.1,0.3,0.6,35.3,55.4,1.3,0.4,9.5,8.4,1.1,5.0,137.0,1.7,0.7,28.8,0.0,0.7,1.7,0.0,0.8,0.0,2.6,4.9,3.1,2.1
ATW,0.5,0.0,1.2,1.3,,4.9,0.8,0.3,2.4,0.3,1.3,1.7,15.1,0.3,0.7,1.3,2.5,0.8,2.5,1.0,2.5,0.1,8.4,2.6,0.1,0.3,0.2,0.3,8.6,0.6,0.1,0.7,1.4,1.0,0.0,1.8,0.5,20.8,0.7,0.3,0.3,0.3,1.2,1.4,2.2,4.0,0.6,0.5,0.7,0.0,0.9,0.8,1.6,0.0,0.7,3.2,0.2,0.9,1.1,0.2,3.8,0.0,1.8,1.6,0.3,0.2,0.9,0.2,0.3,0.5,3.0,1.5,1.7,1.6,0.0,27.9,1.5,0.1,12.9,2.5,1.9,1.0,1.2,5.0,4.7,0.4,0.9,4.3,6.3,0.1,1.6,23.7,0.8,0.2,15.4,0.0,1.1,0.3,0.0,0.3,0.0,1.8,1.8,1.2,1.3
AUS,3.0,0.5,5.1,17.9,5.0,,13.8,2.8,25.8,3.1,21.3,70.0,170.6,4.9,7.2,17.7,102.2,9.2,31.4,7.6,29.6,8.9,77.4,52.7,2.1,1.3,3.0,3.1,68.2,5.8,1.5,26.8,28.3,75.7,0.7,5.5,5.1,134.3,6.7,5.1,3.9,2.5,29.3,11.9,17.1,23.5,6.2,24.6,9.1,0.0,6.8,8.5,77.8,2.4,7.1,46.8,21.3,8.8,11.7,19.4,77.3,0.0,9.8,31.4,18.4,5.1,39.5,1.5,3.7,17.2,127.5,8.9,23.4,23.9,0.3,17.8,18.7,4.0,99.2,51.1,14.4,16.7,10.9,102.3,329.7,6.7,14.5,10.6,18.9,5.5,20.6,214.7,6.6,1.8,14.2,0.0,13.2,4.6,0.0,3.8,0.1,25.8,26.0,8.5,15.9
AVL,0.4,0.1,0.0,3.0,0.8,13.7,,0.4,4.1,1.0,1.3,4.0,3.1,1.7,2.4,2.4,4.5,0.2,3.2,0.3,1.0,1.0,2.6,3.3,0.2,0.3,0.1,0.8,13.3,0.6,0.2,2.1,1.3,1.4,0.2,13.9,0.6,106.6,0.8,0.4,1.2,0.6,3.3,0.2,1.0,7.1,1.2,0.1,0.4,0.0,1.4,1.2,4.2,0.0,1.7,4.6,0.3,0.3,1.7,0.4,5.4,0.0,1.4,3.0,0.3,1.4,3.9,1.0,0.6,1.9,7.2,0.5,2.6,2.5,0.0,12.7,1.6,0.4,23.6,3.8,2.1,3.0,2.8,1.7,38.1,0.1,2.0,5.2,0.8,1.0,1.3,32.8,1.0,1.0,17.3,0.0,2.4,1.2,0.0,0.2,0.0,2.2,0.6,2.5,1.9
AVP,0.1,0.0,0.3,0.1,0.4,2.7,0.4,,0.1,0.0,0.7,1.5,4.0,0.2,0.1,0.1,0.0,0.6,0.3,0.5,2.0,0.5,11.5,1.1,0.1,0.1,0.0,0.6,5.0,0.5,0.1,0.5,0.6,0.5,0.0,1.5,0.3,4.8,0.3,0.3,0.3,0.2,0.5,0.4,1.0,2.5,0.0,0.0,0.7,0.0,0.4,0.6,1.7,0.0,0.3,2.5,0.2,0.3,0.7,0.2,2.0,0.0,0.2,1.2,0.2,0.0,0.8,0.5,0.2,0.7,2.0,5.4,1.1,0.9,0.0,8.2,0.8,0.1,13.9,0.5,1.1,0.1,0.1,2.7,16.2,0.2,0.1,1.9,1.9,0.4,1.0,29.1,0.6,0.4,1.1,0.0,0.1,0.4,0.0,0.2,0.0,0.9,0.6,0.5,0.6
BDL,0.2,0.1,2.0,0.8,2.4,26.1,4.1,0.0,,0.3,7.5,16.2,36.9,1.8,0.4,3.6,32.9,5.4,9.6,3.6,36.9,4.0,60.5,21.9,0.7,1.1,0.9,19.1,41.8,3.8,1.0,5.1,4.2,4.7,0.2,6.6,2.0,110.9,2.1,2.1,2.3,1.7,7.1,11.2,16.6,19.1,0.7,0.7,5.1,0.0,3.3,11.4,18.6,0.0,2.4,32.4,1.0,4.3,4.1,1.0,15.5,0.0,0.7,8.0,0.8,0.2,9.0,2.0,1.9,7.7,20.5,46.5,7.7,7.3,0.0,70.4,21.6,1.4,105.0,20.2,7.1,1.4,0.6,47.6,104.2,2.6,1.6,16.2,22.6,2.7,9.2,252.1,3.0,1.7,34.7,0.0,0.6,3.1,0.0,1.9,0.0,4.6,7.8,4.8,4.1
BGR,0.3,0.1,0.2,0.3,0.3,3.1,1.0,0.0,0.2,,1.6,2.8,4.7,0.2,0.2,0.9,0.3,0.7,1.5,0.8,2.2,0.3,5.5,2.7,0.1,0.1,0.2,0.1,4.8,0.7,0.1,0.8,0.4,0.4,0.0,1.0,0.2,10.8,0.3,0.2,0.2,0.2,1.5,1.5,2.3,2.8,0.1,0.1,0.5,0.0,0.3,1.5,4.0,0.0,0.3,3.1,0.1,0.5,0.9,0.1,2.7,0.0,0.6,1.4,0.1,0.1,1.3,0.1,0.1,0.9,3.1,1.4,0.9,1.1,0.0,5.8,2.1,0.1,18.7,3.0,1.8,0.2,2.7,4.8,8.5,0.7,0.7,2.1,2.0,0.2,1.4,22.6,0.4,0.2,0.5,0.0,0.6,0.4,0.0,0.2,0.0,0.6,1.9,0.5,0.8
